Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
Bulk carrier,4.34,3075.25,9719.39,714.55,3832.22,4893.03,279.6,2895.1,91.96,290.63,33.44
Bulk carrier,3.85,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,4.03,1043.97,3261.65,0,3261.65,0,0,1029,94.24,294.43,11.08
Bulk carrier,5.88,3001.36,9427.4,146.51,4886.75,3903.63,490.5,2964.2,95.96,301.41,31.28
Bulk carrier,5.27,2274.01,7149.27,1440.32,1545.82,3850.54,312.21,2231.8,93.42,293.7,24.34
Chemical tanker,5.71,3318.81,10410.72,752.68,4713.07,4371.54,573.45,3069.5,87.98,275.97,37.72
Other ship types,NA,1907.82,6028.89,0,1653.22,4316.49,59.18,3067.1,114.39,361.49,16.68
Bulk carrier,7.31,1170,3647.12,0,1871.58,1675.51,100.02,1288.6,79.65,248.27,14.69
Bulk carrier,6.47,2231.7,6993.39,289.18,3271.47,3039.68,393.06,2274.1,82.51,258.56,27.05
Oil tanker,2.12,2150.65,6797.56,0,3100.88,3189.95,506.74,1180.7,202.32,639.47,10.63
Oil tanker,2.32,2130.8,6661.12,0,3793.03,2393.93,474.17,739.1,217.16,678.87,9.81
Bulk carrier,4.41,339.71,1059.91,593.22,405.92,0,60.77,281,96.45,300.94,3.52
Bulk carrier,5.34,1753.96,5530.9,0,3828.18,1618.18,84.51,1647.7,96.76,305.14,18.13
Bulk carrier,5.34,2572.4,8139.67,0,3576.79,4190.99,371.9,1997.8,120.03,379.81,21.43
Vehicle carrier,22.77,684.26,2161.17,34.75,1605.62,462.07,58.73,822.58,70.46,222.53,9.71
Oil tanker,4.41,1683.79,5331.62,72.46,2896.42,2007.83,354.9,1423.28,97.53,308.84,17.26
Bulk carrier,5.61,193.16,614.04,0,436.27,121.66,53.27,233.82,93.98,298.74,2.06
Bulk carrier,5.61,1353.34,4228.42,418.66,1836.57,1634.39,338.81,1450.1,116.56,364.17,11.61
Bulk carrier,NA,1795.37,5610.84,23.28,1811.11,3433.82,342.63,1986.7,84.08,262.78,21.35
Bulk carrier,NA,177.27,559.28,0,354.68,127.15,77.46,159,97.56,307.8,1.82
Bulk carrier,7.33,891.45,2824.8,125.71,286.75,2042.83,369.52,1154.7,91.95,291.37,9.69
Container ship,24.13,4572,14438.05,11458.29,840.05,725.51,1414.21,4488.55,87.89,277.56,52.02
Container ship,26.16,3973.1,12676.08,10544.02,1024.54,141.38,966.13,3944.2,82.16,262.12,48.36
Bulk carrier,4.83,1045.24,3260.17,0,1782.42,1354.92,122.82,672.55,124.95,389.72,8.37
Passenger ship,27.32,28582,89635.57,35792.31,20505.7,22020.27,11317.29,3942.7,434.38,1362.24,65.8
Container ship,26.16,3856.59,12224.55,9284.04,632.18,1150.72,1157.6,4266.37,81.49,258.29,47.33
Bulk carrier,4.84,2646.56,8348.32,944.63,5276.56,1615.22,511.92,2190.3,102.7,323.95,25.77
Bulk carrier,4.44,1415.73,4414.01,0,817.54,3535.29,61.17,1436.3,88.26,275.19,16.04
Bulk carrier,4.84,135.58,427.26,0,354.38,36.4,36.47,110.4,88.79,279.8,1.53
Bulk carrier,4.42,1693.2,5284.21,74.01,2291.49,2692.34,226.38,1769.56,84.27,263,20.09
General cargo ship,13.61,1250.13,4007.9,1246.95,986.68,1602.71,171.57,3456.14,37.28,119.51,33.53
General cargo ship,13.61,1540.63,4939.27,739.61,1531.83,2503.24,164.57,4276.01,36.21,116.08,42.55
Bulk carrier,12.67,1150.13,3618.75,1093.81,764.33,1572.83,187.78,2344.3,48.12,151.39,23.9
Chemical tanker,12.7,880.16,2821.8,1779.59,501.61,360.29,180.3,2945,44.74,143.45,19.67
Bulk carrier,5.65,1328.35,4143.95,276.76,1916.33,1870.98,79.89,1171.68,91.47,285.36,14.52
General cargo ship,6.61,2764.03,8695.92,1311.48,2994.39,3787.57,602.47,2906.1,98.91,311.18,27.94
Bulk carrier,6.6,1130.51,3572.29,18.69,421.99,2866.98,264.64,1072.1,85.77,271.04,13.18
Oil tanker,2.81,5270.58,16515.56,214,5765,8982,1555,4310.9,155.25,486.48,33.95
Oil tanker,2.86,11168.01,35255.55,196,15103,16733,3224,6520,152.32,480.86,73.32
Oil tanker,3.42,3965.59,12408.17,81,5846,5457,1024,2397,149.37,467.39,26.55
Oil tanker,3.33,844.4,2640.75,415.77,1851.06,0,373.93,691.66,141.22,441.64,5.98
Bulk carrier,4.6,820.76,2567.24,0,1038.32,1395.94,133,666,99.52,311.29,8.25
Bulk carrier,7.04,888,2786.66,0,461.66,2248.06,76.94,883.5,90.92,285.31,9.77
Bulk carrier,7.04,210.7,665.55,0,614.25,0,51.3,141.75,130.06,410.83,1.62
Bulk carrier,14.59,576.5,1824.73,0,533.56,1185.69,105.48,2823.2,34.97,110.68,16.49
General cargo ship,7.68,864.7,2724.75,0,673.58,1931.26,119.9,1264.16,63.97,201.59,13.52
Ro-pax ship,3,10224,28748.94,26958.2,0,0,1790.7,5789,103.03,289.71,99.23
Ro-pax ship,3,11682,32640.35,31222.7,0,0,1417.6,6408,108.21,302.36,107.96
Bulk carrier,4.67,2303.94,7280.26,0,2347.02,4776.79,156.45,2015.8,99.35,313.95,23.19
Bulk carrier,4.66,1169.31,3672.46,0,1676.26,1959.31,36.87,904.13,97.5,306.22,11.99
Bulk carrier,5.13,1326.05,4161.46,441.69,1864.08,1554.2,301.49,1113.63,118.57,372.09,11.18
Bulk carrier,6.22,1287.28,4053.69,461.93,1326.17,1808.9,456.68,1545,80.13,252.35,16.06
Bulk carrier,2.77,2089.1,6597.76,0,1151.4,5127.04,319.32,1568,134.02,423.26,15.59
Bulk carrier,6.11,1875.47,5892.21,1114.54,1669.51,2661.97,446.19,1686.23,103.98,326.69,18.04
Bulk carrier,7.32,774.62,2438.51,219.79,1062.13,1101.46,55.12,920.4,76.9,242.09,10.07
Oil tanker,3.08,1735.7,5470.25,0,2711.84,1854.96,903.45,1481,158.64,499.98,10.94
Oil tanker,3.23,882,2789.25,162,987,1099,539,651,193.55,612.08,4.56
Bulk carrier,5.87,2363.47,7457.41,2336.28,2706.32,1948.41,466.4,2760.58,85.47,269.67,27.65
Bulk carrier,2.8,1541.21,4806.88,754.03,260.77,3694.62,97.46,827.95,179.31,559.26,8.6
Bulk carrier,2.8,3351.49,10439.78,0,1728.49,8559.72,151.57,1772.41,183.41,571.32,18.27
Oil tanker,3.68,5218.75,16483.98,0,7389.87,7497.65,1596.43,4515.6,175.37,553.93,29.76
Bulk carrier,3.08,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,3.25,1998,6248.39,0,0,6248.39,0,1457,140.2,438.45,14.25
Bulk carrier,4.36,4718.25,14962.37,718.06,7161.49,6698.09,384.72,4767.3,107.44,340.72,43.92
Bulk carrier,8.66,2077.25,6557.61,2005.22,1501.87,2260.6,787.93,2891,62.87,198.48,33.04
Chemical tanker,9.69,860.28,2692.28,722.12,865.11,1005.75,99.3,959.05,80.24,251.12,10.72
Chemical tanker,6.69,4443.49,14085.47,8728.15,918.34,2073.73,2365.25,4918.4,104.15,330.14,42.66
Chemical tanker,6.69,3675.85,11653.59,5402.37,2435.42,2579.98,1236.16,4063.87,110.33,349.79,33.32
Chemical tanker,6.69,3439.6,10794.54,4854.63,1585.96,1440.72,2913.24,4507.9,88.83,278.79,38.72
Chemical tanker,6.69,3310.3,10442.86,2874.32,3878.41,2006.27,1683.86,3241.12,95.13,300.11,34.8
Ro-pax ship,NA,7805.3,24820.32,22814.33,0,0,2005.99,6040,103.38,328.75,75.5
Ro-pax ship,NA,8166.9,25966.01,24414,0,0,1551.97,6808,95.97,305.12,85.1
Bulk carrier,4.51,2309.05,7241.96,0,3416.71,3690.96,134.3,1919.4,100.83,316.23,22.9
Container ship,15.49,7543,23819.49,834.2,11063.64,10671.63,1250.02,2394.17,213.97,675.67,35.25
Container ship,15.49,12310.9,38456.33,1309.65,17781.26,17999.99,1365.44,3240.59,233.34,728.91,52.76
Oil tanker,3.13,9795.5,30622.07,269.36,12367.49,15721.37,2263.87,4445.03,184.2,575.82,53.18
Oil tanker,3.48,4111.51,12969.54,1517.08,3075.54,5102.01,3274.9,1943.7,188.9,595.87,21.77
Bulk carrier,6.4,964.45,3031.84,639.32,390.56,1835.1,166.86,1156.7,86.75,272.72,11.12
Oil tanker,19.76,2385.29,7446.15,3493.81,1393.84,1847.22,711.26,5193.8,42.45,132.51,56.19
Oil tanker,17.77,1911.96,5978.07,2001.76,1578.45,1620.44,777.42,3709.3,48.58,151.89,39.36
Oil tanker,19.74,1528.85,4770.56,834.18,1601.87,1950.63,383.86,3363.79,46.33,144.58,33
Oil tanker,18.91,1418,4484.62,1913.9,1246.1,988.15,336.46,3609.5,37.24,117.78,38.08
Bulk carrier,6.67,2021.28,6358.67,748.04,2574.89,2861.64,174.1,1540.92,116.29,365.84,17.38
Bulk carrier,6.67,885.01,2766.88,184.9,1538.09,930.13,113.76,1010.9,79.68,249.11,11.11
Bulk carrier,6.67,1675.7,5243.74,287.29,1536.01,3266.87,153.57,2100.83,77.92,243.83,21.51
Bulk carrier,6.67,1046.98,3287.88,1040.58,2078.6,0,168.7,1105.92,85.97,269.97,12.18
Oil tanker,2.9,2057.6,6463.37,0,2964.1,2924.8,574.2,942.9,244.4,767.71,8.42
Bulk carrier,6.67,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Oil tanker,3.65,6312.15,19745.23,111.89,7016.25,10919.49,1697.61,3754,152.12,475.85,41.49
Bulk carrier,3.25,680.53,2125.62,0,0,2125.61,0,468,152.96,477.77,4.45
Oil tanker,3.15,5420.61,16954.62,0,5941.71,9584.76,1428.16,3452.37,131.33,410.76,41.27
Bulk carrier,5.59,955,2989,0,2162.78,677.28,148.95,951,110.59,346.13,8.64
Bulk carrier,4.15,3636.25,11353.38,224,5283,5452,394,2124,147.97,462.01,24.57
Bulk carrier,6.83,1188.78,3740.2,293.63,2351.57,991.96,104.29,1326.3,80.33,252.75,14.8
Bulk carrier,6.65,568.3,1776.62,0,1480.06,118.95,177.61,643.8,79.43,248.3,7.15
Bulk carrier,6.8,896.49,2823.77,515.27,1390.87,696.49,221.18,959.38,82.62,260.24,10.85
Bulk carrier,4.29,3994.66,12454.28,104.94,4690.97,7372.58,285.79,2657.3,131.52,410.03,30.37
Bulk carrier,6.47,945.54,2973.58,586.24,1881.42,332.25,173.67,1453.51,59.12,185.91,15.99
Bulk carrier,3.68,2318.18,7242.06,359.83,2458.48,4341.69,82.07,1741.3,138.06,431.31,16.79
Bulk carrier,3.68,7379.9,23033.69,1291.05,11611.29,9142.81,988.53,5021.22,134.38,419.41,54.92
Bulk carrier,3.91,3472.14,10883.11,163.5,3642.54,6745.05,332.01,2701.73,116.38,364.77,29.83
Bulk carrier,6.15,1315.2,4120.52,367.67,1529.16,2059.23,164.47,1667.9,69.77,218.6,18.85
Oil tanker,3.65,5720.98,17869.2,230.12,9070.44,5706.85,2861.78,3075.43,219.82,686.6,26.03
Bulk carrier,6.54,2099.83,6651.82,408.8,3031.01,3020.81,191.2,2216.48,79.37,251.44,26.46
Bulk carrier,4.86,2181.06,6812.89,345.08,3972.59,2144.63,350.61,2320.4,85.72,267.75,25.44
Bulk carrier,4.53,1613.05,5094.07,0,2295.16,2490.52,308.39,1422.85,111.15,351.02,14.51
Oil tanker,5.96,1608.63,5077.27,0,4267.35,622.22,187.69,1617.2,84.37,266.3,19.07
Bulk carrier,3.02,1844.5,5756.87,0,2602.28,2768.99,385.59,930.07,177.76,554.82,10.38
General cargo ship,14.38,17.07,54.24,0,30.46,19.44,4.33,115.3,55.46,176.22,0.31
Bulk carrier,3.12,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,4.06,2186.9,6836.72,66.33,2056.19,4478.18,236.02,2087.3,97.8,305.73,22.36
Bulk carrier,4.42,1984.43,6222.83,0,3414.95,2697.89,110,1943.15,108.87,341.39,18.23
Bulk carrier,4.68,925.48,2900.08,460.97,1708.85,278.57,451.7,712.6,105.3,329.97,8.79
Bulk carrier,4.6,1025.2,3234.91,114.73,743.16,2211.72,165.31,858.92,103.62,326.96,9.89
Bulk carrier,4.25,1042.9,3264.59,0,0,3264.59,0,881.08,109.22,341.88,9.55
Oil tanker,3.5,3341.51,10456.58,681.66,3332.73,5589.17,853.03,1482,192.39,602.04,17.37
Oil tanker,3.29,4866.44,15191.43,876.68,6485.67,6817.54,1011.53,2191.8,184.36,575.52,26.4
Vehicle carrier,15.36,3751.79,11746.96,696.41,4773.3,5993.53,283.73,1914.4,123.65,387.15,30.34
Bulk carrier,6.8,1285.6,4037.99,533.79,2479.95,761.19,263.05,1416.44,95.52,300.01,13.46
Bulk carrier,6.51,456.6,1431.84,0,959.13,462.13,10.58,655.3,75.63,237.18,6.04
Oil tanker,3.35,2437.74,7623.09,0,4591.08,2145.85,886.16,1355.7,210.45,658.1,11.58
Bulk carrier,3.28,2424.98,7610.38,1187.09,3786.88,2528.94,107.46,1449.45,173.18,543.5,14
Bulk carrier,2.73,1612.53,5086.69,1288.23,0,3695.09,103.38,1470,118.34,373.31,13.63
Oil tanker,4.88,3408.92,10781.85,567.75,3657.52,5150.83,1405.76,2907.78,95.8,303.01,35.58
Oil tanker,4.93,676.7,2134.54,0,0,2134.54,0,823.7,66.26,209,10.21
Bulk carrier,4.19,3475.3,10883.11,553.61,5985.98,3962.56,380.96,2991.49,108.37,339.37,32.07
General cargo ship,13.1,942.5,2966.63,558.05,1078.21,1202.78,127.59,3794.18,32.27,101.59,29.21
Bulk carrier,6.05,306.95,959.1,117,47,742,53,549,56.31,175.95,5.45
Bulk carrier,7.9,4398.35,13781.59,4141.17,3999.09,4663.36,977.95,4805.95,98.47,308.55,44.67
Bulk carrier,7.9,3657.17,11492.73,6158.64,1595.87,2862.89,875.32,4226.71,105.55,331.7,34.65
Bulk carrier,3.45,1929.79,6096.89,0,588.59,5376.98,131.32,1204.55,137.58,434.65,14.03
Oil tanker,5.87,1787.71,5689.8,735.78,2171.77,2429.23,353.01,1834.9,89.34,284.34,20.01
Bulk carrier,4.54,207.67,657.02,0,278.38,177.46,201.19,182.7,149.83,474.04,1.39
Bulk carrier,9.24,955.35,2990.3,904.65,467.62,1458.43,159.59,1031.69,84.52,264.56,11.3
Bulk carrier,6.52,1376.25,4337.49,1048.83,520.68,2587.42,180.56,1843,93.02,293.17,14.8
General cargo ship,6.63,875.2,2747.72,58.87,660.85,1947.4,80.6,1120.6,73.23,229.9,11.95
Vehicle carrier,23.29,3906,12330.44,1937.32,5237.74,4963.02,192.36,2300.9,107.51,339.37,36.33
Bulk carrier,3.95,1792.49,5670.94,3487.67,511.81,1275.78,395.69,1266,142.4,450.51,12.59
Bulk carrier,3.86,1655.96,5203.76,1084.27,1175.98,2671.99,270.29,1264.02,116.62,366.46,14.2
Bulk carrier,5.62,2021.92,6347.52,956.19,2567.13,2363.21,461,2063,167.79,526.77,12.05
Bulk carrier,2.54,2844.6,9006.2,0,1593.98,7284.62,127.6,1651.4,175.39,555.29,16.22
Bulk carrier,4.43,1961.03,6158.76,352.66,2802.73,2862.03,141.34,1749.7,94.09,295.5,20.84
Bulk carrier,4.79,2098.18,6627.9,0,1272.67,5205.96,149.27,1947.3,111.38,351.84,18.84
Bulk carrier,4.8,1282.29,4044,0,1296.3,2608.25,139.44,1193.3,104.18,328.56,12.31
Bulk carrier,3.81,1478.7,4675.17,280.53,4304.86,0,89.77,1067.1,110.53,349.47,13.38
General cargo ship,15.96,1678.8,5382.23,3675.21,561.02,788.02,357.97,4328.7,38.13,122.24,44.03
Bulk carrier,5.23,1469.64,4594.74,0,1661.68,2804.57,128.5,1333.65,106.55,333.12,13.79
Bulk carrier,3.93,3417.93,10676.83,514.68,2462.44,7419.99,279.72,2696.95,108.06,337.57,31.63
Bulk carrier,4.07,1074.02,3355.76,0,1297.2,1974.29,84.3,816.9,105.2,328.71,10.21
Bulk carrier,4.76,200.14,635.75,0,558.46,0,77.29,149.3,113.39,360.2,1.77
Oil tanker,3.3,976.8,3047.69,0,454.37,2452.9,140.42,604,146.29,456.45,6.68
Oil tanker,3.65,4107.4,12873.39,494.1,5498,6070.4,810.7,3583.9,138.4,433.78,29.68
Oil tanker,3.64,5326.2,16634.34,180.32,5625.28,9603.17,1225.57,3924.68,152.11,475.06,35.02
Oil tanker,3.72,5847.22,18267.3,0,7915.73,8821.64,1529.94,3343.38,153.94,480.93,37.98
Oil tanker,3.76,3763.15,11833.47,922.83,2790.28,6717.97,1402.37,2261.55,169.07,531.66,22.26
Oil tanker,3.59,4987.3,15680.04,1014.58,5441.69,7971.27,1252.5,3687.27,154.66,486.26,32.25
Oil tanker,3.59,4494.1,14062.41,832.76,6222.42,5900.33,1106.91,2564.32,162.42,508.24,27.67
Bulk carrier,2.56,2668.1,8314.14,0,2446.12,5773.75,94.26,1543,149.51,465.88,17.85
Bulk carrier,2.58,3678.08,11494.32,0,3563,7816.28,115.02,2057.3,155.76,486.76,23.61
General cargo ship,5.9,2346.81,7449.42,4063.93,1374.59,1678,332.94,4357.87,54.87,174.18,42.77
General cargo ship,5.9,2115.96,6713.14,3579.2,1733.62,898.93,501.39,3863.52,57.66,182.93,36.7
General cargo ship,5.9,2054.43,6538.72,2811.76,2466.04,1000.85,260.05,4042.23,53.03,168.77,38.74
Bulk carrier,3.84,207.96,650.1,0,650.1,0,0,156.75,109.34,341.8,1.9
Oil tanker,4.17,461.2,1456.66,0,1011.98,305.85,136.82,322.8,124.31,392.63,3.71
Oil tanker,4.17,3922,12397.27,136,4665,6888,712,4050,112.72,356.3,34.79
Bulk carrier,4.04,2695.27,8432.86,246.86,3188.66,4652.37,344.97,2142.58,112.11,350.76,24.04
Bulk carrier,4.04,809.59,2528.62,0,297.19,2203.87,27.57,533.16,116.25,363.1,6.96
Bulk carrier,5.6,2523.21,7971.62,547.85,3335.47,3899.81,188.51,2424.89,102.45,323.68,24.63
Bulk carrier,3.23,1380.41,4311.88,0,2136,2137,39,806,154.63,483.02,8.93
Bulk carrier,6.05,214.9,670.71,0,247.06,378.46,45.19,195.5,85.28,266.15,2.52
Oil tanker,3.16,2310.62,7229.88,1383.28,2636.19,2772.16,438.26,1007.1,199.98,625.72,11.55
Oil tanker,3.16,5310.61,16651,1009.87,5693.51,8344.49,1603.13,2547.9,192.13,602.4,27.64
Other ship types,NA,806.5,2550.15,0,0,2442.88,107.27,1406.83,97.84,309.37,8.24
Bulk carrier,4.97,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Bulk carrier,5.36,1277.54,4029.81,164.25,1530.56,2148.32,186.69,1076.1,96.6,304.72,13.23
Oil tanker,4.5,7132.05,22330.15,0,8239.96,11448.42,2641.76,5804.3,147.23,460.99,48.44
Oil tanker,3.48,535.3,1687.72,0,0,1687.72,0,333,128.22,404.24,4.17
Bulk carrier,4.3,2773.3,8788.59,241.35,3760.74,4410.47,376.03,2209.5,121.81,386.02,22.77
Bulk carrier,4.21,6083.6,19284.75,1528.04,8894.13,7983.93,878.65,5729.7,106.11,336.35,57.33
Other ship types,11.7,2028.3,6358.03,1022.55,5026.5,234.29,74.7,2157.75,77.4,242.62,26.21
Other ship types,12.06,728.14,2272.76,0,73.42,2185.76,13.59,746.08,83.07,259.3,8.77
Other ship types,NA,2269.93,7116.7,186.59,5869.76,903.23,157.12,2524.81,69.53,217.98,32.65
Bulk carrier,5.11,2104.42,6601.56,57.93,3665.98,2736.46,141.19,1508.3,115.75,363.1,18.18
Bulk carrier,5.11,807.97,2518.58,0,0,2281.57,237.01,599.6,115.99,361.55,6.97
Bulk carrier,5.09,2726.77,8543.5,285.56,2080.29,5642.33,535.32,2122.5,115.36,361.44,23.64
Bulk carrier,3.69,596.89,1866.87,0,33.82,1713.63,119.42,487.4,105.01,328.44,5.68
Bulk carrier,4.77,1515.38,4750.13,0,2381.88,2274.89,93.36,665.75,199.37,624.93,7.6
General cargo ship,6.53,847.1,2641.19,74.76,1105.25,1372.68,88.49,815.2,86.69,270.28,9.77
Chemical tanker,10.6,2589.91,8158.64,3582.81,1021.75,1720.18,1332.07,3804.33,63.62,200.4,40.71
Oil tanker,3.68,6819.63,21591.27,978.33,9629.92,9498.8,1484.22,5127.72,169.25,535.85,40.29
Chemical tanker,13.45,1999.48,6329.5,744.5,2077.66,3179.96,327.38,3734,48.14,152.4,41.53
Bulk carrier,5.75,3159.76,10000.78,2856.73,3312.17,3092.96,738.92,3418.05,85.38,270.22,37.01
Bulk carrier,6.01,1541.1,4868.75,140.74,3909.56,612.29,206.15,1976.7,75.89,239.76,20.31
Bulk carrier,6.04,1238.21,3914.32,1369.9,778.16,1381.03,385.24,1350.83,94.37,298.33,13.12
Bulk carrier,6.03,1701.45,5357.74,1071.41,1948.23,1884.41,453.68,2033.37,82.83,260.84,20.54
General cargo ship,12.6,1076,3408.51,1671,882,573,284,3147,42.56,134.81,25.28
General cargo ship,11,990.38,3134.29,372.09,788.79,1832.03,141.37,3575.22,40.6,128.5,24.39
General cargo ship,11,1133.49,3583.9,931.42,1078.13,1502.05,72.31,3437.03,35.01,110.69,32.38
Bulk carrier,6.75,856.27,2708.25,228.66,1333.94,870.58,275.08,891.93,98.46,311.4,8.7
Bulk carrier,6.71,200.52,640.58,0,243.11,326.96,70.5,270,90.94,290.51,2.2
Bulk carrier,6.2,2215.95,7002.54,838.27,1834.38,3788.95,540.95,2779.93,72.75,229.88,30.46
General cargo ship,8.27,4267.37,13368.38,2559.3,4595.36,5014.43,1199.29,3677.3,91.65,287.1,46.56
General cargo ship,8.98,856.57,2690.33,820.78,410.64,818.11,640.8,661.8,102.25,321.14,8.38
General cargo ship,8.41,1736.55,5438.04,830.11,1662.53,2466.61,478.77,1583.8,83.73,262.2,20.74
Bulk carrier,5.65,433.49,1373.57,10.68,315.6,739.19,308.11,350.2,116.2,368.19,3.73
Bulk carrier,4.79,2661.59,8335.33,1439.01,3348.94,3237.22,310.15,2100,116.9,366.1,22.77
Bulk carrier,4.78,1051.07,3282.05,0,603.83,2536.33,141.9,733,123.35,385.17,8.52
Bulk carrier,4.78,1669.02,5227.18,1347.4,3551.2,0,328.52,1222.7,124.62,390.31,13.39
Bulk carrier,5.44,1395.51,4357.77,484.01,949.62,2836.46,87.68,1157.45,101.69,317.55,13.72
Bulk carrier,5.13,402.79,1258.97,0,770.42,358.77,129.78,292.4,144.37,451.24,2.79
Oil tanker,2.64,2644.7,8351.06,0,3663.47,4310.23,377.35,1585.8,137.32,433.62,19.26
Oil tanker,3.32,1929.9,6043.23,726.41,3342.45,1636.45,337.91,953.8,182.36,571.03,10.58
Oil tanker,3.33,3645,11521.42,0,4389.47,6317.62,814.32,2272.2,157.56,498.04,23.13
Oil tanker,4.15,2615.7,8175.89,1396.91,1594.48,4664.18,520.33,1524.5,143,446.99,18.29
Oil tanker,3.96,1026.4,3205.4,0,1422.72,1484.84,297.84,835.5,114.9,358.83,8.93
Oil tanker,4.15,3393.41,10594.53,0,2908.7,6976.57,709.25,1459,181.34,566.16,18.71
Oil tanker,2.89,3634.83,11387.92,468.57,5352.44,5050.12,516.81,2595.3,159.77,500.57,22.75
Oil tanker,3,1999.45,6268.24,0,3044.66,3085.42,138.18,1016.3,158.78,497.79,12.59
Oil tanker,5.09,3815.81,11954.72,1309.88,7817.76,1829.11,997.97,2231.99,134.08,420.05,28.46
Oil tanker,3.8,2133.93,6668.7,0,3456.09,2930.8,281.81,1321.3,145.17,453.65,14.7
Oil tanker,4.21,2445.4,7649.75,0,1407.28,5716.81,525.66,1579.3,153.94,481.54,15.89
Chemical tanker,6.69,3919.22,12418.55,7034.29,2092.78,1124.92,2166.65,3784.3,112.4,356.16,34.87
Chemical tanker,6.69,2561.1,8093.93,1862.78,3632.36,1908.55,690.24,2634.27,89.81,283.84,28.52
Bulk carrier,6.8,1976.2,6199.35,580.32,1388.97,4015.36,214.87,2085,78.67,246.78,25.12
Bulk carrier,6.73,1803.72,5661.62,1063.67,1177.18,2441.52,979.25,1666.67,93.62,293.87,19.27
Bulk carrier,7.84,419.5,1328.4,0,164.79,34.65,1128.96,924.5,42.31,133.97,9.91
Bulk carrier,3.48,1374.47,4337.85,262.15,1349.45,2637.95,88.29,1073.65,106.15,335.01,12.95
Passenger ship,3.19,25528,79923.25,58622,1295,10421,9584,5338.9,308.49,965.83,82.75
Oil tanker,3.38,3395.62,10613.73,0,6821.3,3525.34,267.1,1510.4,175.61,548.91,19.34
Bulk carrier,6.39,230.59,728.63,0,0,585.38,143.26,41.5,418.49,1322.38,0.55
Bulk carrier,6.26,148.6,465.32,0,202.13,177.59,85.6,505.92,125.08,391.68,1.19
Bulk carrier,6.46,1223.51,3879.59,506.42,481.36,2812.9,78.89,1514.4,70.88,224.74,17.26
Bulk carrier,6.3,1761.68,5521.33,146.22,2041.48,3229.69,103.93,1659.32,85.67,268.5,20.56
Container ship,14.24,5355.79,16793.3,2551.86,8403.21,5060.47,777.78,1160,308.64,967.75,17.35
Bulk carrier,NA,1677.92,5305.56,0,1997.43,3140.3,167.83,1035.8,164.32,519.59,10.21
Bulk carrier,NA,2628.24,8314.03,0,1872.41,6289.05,152.57,1566.47,154.18,487.71,17.05
Oil tanker,2.15,4643.27,14464.67,0,11150.1,2902.77,412.03,1742.1,258.74,806.01,17.95
Chemical tanker,5.23,4849.73,15242.92,1439.96,5693.31,7625.19,484.46,3787.55,112.28,352.89,43.19
Bulk carrier,3.85,1525.98,4781.86,297.05,2244.15,2182.89,57.77,1496.7,94.87,297.29,16.08
Bulk carrier,3.97,3567.84,11171.32,287.48,5087.36,5600.93,195.55,3549.4,92.55,289.79,38.55
Bulk carrier,5.89,2888.98,9114.29,679.75,4589.63,3437.86,407.03,2433.2,92.8,292.78,31.13
Bulk carrier,7.83,424.58,1338.01,0,267.99,1024.84,45.17,502.8,66.95,210.98,6.34
Bulk carrier,6.67,2091.02,6543.67,396.55,2349.6,3561.2,236.23,2437.97,79.96,250.22,26.15
Bulk carrier,6.67,2216.83,6979.32,651.06,3418.22,2469.18,440.86,2493.18,81.81,257.56,27.1
Bulk carrier,4.17,2005.35,6290.07,42,1904,3996,348,1560,124.98,392.03,16.05
Bulk carrier,6.12,1252.38,3976.45,570.28,1659.74,1497.14,249.3,1584.6,75.72,240.42,16.54
Bulk carrier,6.12,2454.63,7778.61,461.8,3640,3328.48,348.33,2882.8,76.72,243.14,31.99
Bulk carrier,5.65,795.4,2525.61,4.49,1731.18,595.11,194.83,907.56,76.99,244.47,10.33
Bulk carrier,5.55,1657.74,5205.72,0,489.68,4530.17,185.87,1585.8,107.46,337.46,15.43
Bulk carrier,6.42,843.47,2637.11,563.5,1787.44,0,286.17,853.4,93.77,293.18,9
Bulk carrier,5.75,1523.82,4801.44,0,783,3897,121,2021,72.25,227.64,21.09
Bulk carrier,6.08,1081.64,3421.7,340,418,2372,291,1285,80.22,253.76,13.48
Bulk carrier,6.22,2146.97,6781.95,129.55,1833.43,4602.75,216.21,2306.47,77.25,244.01,27.79
Bulk carrier,6.19,467.44,1465.02,35.33,316.62,963.7,149.37,459.5,85.14,266.85,5.49
