Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
Passenger ship,21.04,1896.23,6067.12,2071.12,1038.27,1310.48,1647.26,965.17,169.57,542.55,11.18
Container ship,17.92,2713.43,8581.11,2465.63,2486.91,2972.95,655.61,2855.4,115.16,364.18,23.56
Ro-pax ship,NA,3335.1,10562.84,9606.85,83.16,251.2,621.64,1402.88,136.61,432.67,24.41
LNG carrier,11.72,10293,30163.65,1227.94,6900.19,20600.76,1434.75,3524.6,274.48,804.36,37.5
Ro-ro ship,19.44,491.26,1574.98,0,860.67,643.12,71.17,1570.5,32.99,105.78,14.89
Ro-ro ship,19.44,1159.49,3717.32,2593.72,215.12,697.11,211.37,3216.2,33.21,106.47,34.91
Container ship,25,816.7,2587.44,283.1,466.12,1685.72,152.5,1205.3,72.11,228.46,11.33
Other ship types,38.97,881.5,2785.31,0,890,1865,30,690,90.63,286.38,9.73
General cargo ship,5.39,66.31,209.58,0,80.92,95.02,33.65,92.33,42.61,134.67,1.56
General cargo ship,17.13,235.9,745.24,28.78,314.23,371.45,30.78,640.45,35.43,111.91,6.66
General cargo ship,14.02,884.14,2777.5,533,856,1297,91,1749,52.23,164.08,16.93
General cargo ship,15.31,3172.12,10007.44,350.17,6840.77,2636.12,181.37,2322.52,155.06,489.18,20.46
Ro-pax ship,30.94,13750.78,43049.32,0,20093.91,20028.42,2927.01,5651.92,159.18,498.34,86.39
Ro-pax ship,37.22,3199.36,10257.15,9079,0,0,1177.95,5043,79.2,253.92,40.4
Ro-pax ship,36.92,442.53,1418.75,1288.6,0,0,130.4,5033.3,10.98,35.19,40.3
Ro-pax ship,30.28,6047.68,18955.45,68.64,7876.76,7804.52,3205.52,3242.45,138,432.54,43.82
Ro-pax ship,24.15,7729.76,24781.62,31.1,11743.87,11563.95,1442.7,2845.56,220.48,706.87,35.06
Refrigerated cargo carrier,16.34,1642.72,5162.12,197.65,1099.07,3668.67,196.73,1160.2,90.72,285.07,18.11
Ro-ro ship,28.77,2258.88,7063.29,1151.26,2162.99,3484.29,264.75,3461.72,60.43,188.96,37.38
Ro-ro ship,15.84,2932.55,9377.59,8306.48,646.33,109.32,315.47,4782.3,52.91,169.2,55.43
Container ship,12.9,1476.48,4645.98,1052.75,1394.2,1934.17,264.86,1620.1,96.92,304.98,15.23
Passenger ship,NA,4070.02,13048.48,6841.64,2457.69,3013.32,735.84,4964.5,96.25,308.57,42.29
Container ship,13.08,1943.63,6131.79,946.57,2770.06,2106.66,308.51,1979.7,103.14,325.39,18.84
General cargo ship,5.47,3614.83,11405.39,1018.41,5337.95,4684.74,364.29,3506.67,95.65,301.8,37.79
Refrigerated cargo carrier,26.1,1195.42,3742.63,0,1070.16,2589.38,83.1,1133.7,68.62,214.83,17.42
Ro-pax ship,23.9,15744.66,49223.41,45735.75,0,0,3487.7,5127.65,176.49,551.78,89.21
Ro-pax ship,4.34,13184.8,41615.19,38582.92,0,0,3032.29,5555.63,155.02,489.29,85.05
Ro-pax ship,23.9,1505,4707.23,4548.54,0,0,158.7,732.9,150.91,471.99,9.97
Ro-pax ship,56.34,8425.94,26653.36,23978.14,0,0,2675.19,4622.42,130.03,411.32,64.8
Oil tanker,20.45,2258.62,7055.67,6653.91,0,0,401.76,2634.9,95.85,299.41,23.56
Ro-pax ship,21.84,3366.31,10792.39,8156.24,0,0,2636.16,2886.7,90.68,290.73,37.12
General cargo ship,5.67,900.6,2853.8,301.36,1109.3,1247.58,195.57,950.3,85.12,269.74,10.58
General cargo ship,5.67,2035.6,6431.2,1406.62,1634.26,3060.74,329.58,1945.8,91.49,289.06,22.25
Refrigerated cargo carrier,21.75,1071.1,3361.36,157.7,2192.1,833.5,177.9,1147.6,61.78,193.89,17.34
